STU_ID,stu_gender,race,aspire88,reading88,math88,science88,history88,reading90,math90,science90,history90,school_id,reading92,math92,science92,history92,faminc88,faminc92,freq_absent88,class_size88,teacher_cert88,teacher_status88,TCH_IDA,class_size90,teacher_cert92,class_size92,teacher_status92,teacher_id,high_faminc92,high_faminc88,male,asian,hispanic,black,white,native_american,fulltime88,fulltime92,certified88,certified92,small_class_size88,regular_class_size88,large_class_size88,small_class_size90,regular_class_size90,large_class_size90,small_class_size92,regular_class_size92,large_class_size92,always_small,always_nonsmall,totalscr88,totalscr90,totalscr92,ln_totalscr88,ln_totalscr90,ln_totalscr92,absent88_bin,uni_aspire88
298898,1,3,6,47.189999,49.66,47.02,47.349998,47.77,46.75,40.259998,48.98,68254,43.91,48.32,54.310001,53.880001,11,14,2,20,4,1,6825410E,40,4,38,1,6825410E,1,1,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,1,191.22,183.75999,200.42,5.2534246,5.2136307,5.300415,Not frequently absent,Expects university
604414,2,4,4,63.900002,59.540001,73.739998,67.389999,62.290001,62.919998,66.029999,58.130001,74200,66.879997,62.27,54.110001,59.43,11,11,2,28,1,1,7420002H,4,1,50,1,7420002H,1,1,0,0,0,0,1,0,1,1,1,1,0,0,1,1,0,0,0,0,1,0,0,264.57001,249.37,242.69,5.5781059,5.5189376,5.491785,Not frequently absent,Does not expect university
604417,2,4,4,58.650002,65.620003,62.799999,57.189999,59.93,68.949997,67.620003,54.48,74200,61.040001,62.560001,65.519997,57.639999,10,11,2,28,1,1,7420006H,24,1,50,1,7420006H,1,0,0,0,0,0,1,0,1,1,1,1,0,0,1,0,1,0,0,0,1,0,1,244.26001,250.98,246.75999,5.4982333,5.5253735,5.5084162,Not frequently absent,Does not expect university
604418,1,4,3,57.380001,56.950001,65.970001,58.509998,59.799999,54.860001,61.52,63,74200,58.240002,60.299999,54.57,60.869999,11,12,2,29,1,1,7420006H,24,1,25,1,7420006H,1,1,1,0,0,0,1,0,1,1,1,1,0,0,1,0,1,0,0,1,0,0,1,238.81,239.17999,233.98,5.4756684,5.4772162,5.4552355,Not frequently absent,Does not expect university
604426,2,4,6,61.66,58.57,52.75,49.200001,59.029999,63.560001,53.759998,51.09,74200,50.630001,58.490002,59.52,51.759998,11,12,2,29,1,1,7420006H,26,1,24,1,7420006H,1,1,0,0,0,0,1,0,1,1,1,1,0,0,1,0,0,1,0,1,0,0,1,222.17999,227.44,220.39999,5.4034877,5.4268866,5.3954439,Not frequently absent,Expects university
604434,2,4,5,47.009998,47.330002,46.139999,48.5,45.439999,42.169998,38.099998,36.07,74200,42.34,40.880001,41.009998,43.310001,11,12,2,29,1,1,7420001M,24,1,40,1,7420001M,1,1,0,0,0,0,1,0,1,1,1,1,0,0,1,0,1,0,0,0,1,0,1,188.98,161.78,167.54001,5.241641,5.0862374,5.121222,Not frequently absent,Expects university
604467,2,4,4,64.349998,53.84,63.220001,52.52,62.279999,54.849998,51.939999,54.029999,74200,64.959999,52.549999,56.599998,50.389999,10,11,2,28,1,1,7420007M,28,1,50,1,7420007M,1,0,0,0,0,0,1,0,1,1,1,1,0,0,1,0,0,1,0,0,1,0,1,233.92999,223.09999,224.5,5.4550219,5.40762,5.4138756,Not frequently absent,Does not expect university
604476,1,4,5,61.869999,66.57,53.52,61.040001,62.57,68.209999,54.869999,58.610001,74200,61.919998,65.089996,58.220001,60.110001,11,11,2,29,1,1,7420002H,4,1,15,1,7420002H,1,1,1,0,0,0,1,0,1,1,1,1,0,0,1,1,0,0,1,0,0,0,0,243,244.25999,245.34,5.4930615,5.4982333,5.502645,Not frequently absent,Expects university
604479,2,4,5,36.689999,44.610001,53.540001,58.880001,40.860001,43.75,56.09,47.610001,74200,56.790001,41.98,56.41,57.59,10,11,2,28,1,1,7420001M,24,1,50,1,7420001M,1,0,0,0,0,0,1,0,1,1,1,1,0,0,1,0,1,0,0,0,1,0,1,193.72,188.31,212.77,5.2664137,5.2380896,5.3602118,Not frequently absent,Expects university
637521,2,4,5,64.870003,63.48,64.190002,53.75,65.790001,69.449997,62.119999,56.52,40855,99.989998,99.989998,99.989998,99.989998,9,9,2,17,1,1,4085502H,23,1,95,1,4085502H,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,246.29001,253.88,399.95999,5.5065098,5.5368619,5.9913645,Not frequently absent,Expects university
644268,1,4,6,62.709999,66.800003,67.510002,57.700001,67.860001,64.970001,65.839996,63.209999,72573,63.959999,65.18,66.040001,60.220001,11,12,2,14,4,1,7257301H,16,4,8,1,7257301H,1,1,1,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,254.72,261.88,255.39999,5.5401649,5.5678864,5.5428309,Not frequently absent,Expects university
651885,1,4,5,38.59,48.959999,38.75,35.209999,36.779999,45.740002,49.599998,45.220001,93282,38.619999,47.080002,47.619999,41.599998,11,12,2,20,1,1,9328201M,31,1,20,1,9328201M,1,1,1,0,0,0,1,0,1,1,1,1,0,1,0,0,0,1,0,1,0,0,1,161.50999,177.34,174.92,5.0845671,5.1780686,5.1643286,Not frequently absent,Expects university
651891,2,4,5,70.550003,55.02,58.830002,52.93,63.860001,56.25,49.5,49.630001,30426,64.589996,48.740002,50.009998,48.790001,12,14,2,16,1,1,3042601M,17,1,23,1,3042601M,1,1,0,0,0,0,1,0,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,237.33,219.24001,212.13,5.4694514,5.3901672,5.3571992,Not frequently absent,Expects university
664182,2,4,2,40.130001,52.59,41.490002,41.91,39.880001,57.290001,47.119999,50.630001,20421,99.989998,99.989998,99.989998,99.989998,12,12,2,24,1,1,2042101S,20,3,7,1,2042101S,1,1,0,0,0,0,1,0,1,1,1,1,0,1,0,0,1,0,1,0,0,0,0,176.12,194.92,399.95999,5.1711655,5.2725892,5.9913645,Not frequently absent,Does not expect university
673838,2,4,5,56.57,51.049999,46.790001,45.560001,44.400002,49.950001,44.110001,43.23,15276,45.220001,45.830002,40.66,40.91,11,11,2,3,4,1,1527603M,22,1,28,1,1527603M,1,1,0,0,0,0,1,0,1,1,0,1,1,0,0,0,1,0,0,0,1,0,0,199.97,181.69,172.62,5.2981672,5.202302,5.1510925,Not frequently absent,Expects university
673841,2,4,5,66.5,53.41,49.360001,51.849998,45.09,57.349998,51.93,55.099998,85715,51.32,57.110001,48.630001,56.310001,10,11,2,3,4,1,8571501M,28,1,75,1,8571501M,1,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,1,0,0,1,0,0,221.12,209.47,213.37,5.3987055,5.3445807,5.3630276,Not frequently absent,Expects university
673894,1,4,4,53.619999,46.220001,54.419998,50.59,52.66,50.02,51.16,53.860001,85715,42.509998,48.810001,55.490002,51.110001,6,8,2,3,4,1,8571503M,27,1,25,1,8571503M,0,0,1,0,0,0,1,0,1,1,0,1,1,0,0,0,0,1,0,1,0,0,0,204.85001,207.7,197.92,5.322278,5.3360949,5.2878628,Not frequently absent,Does not expect university
701118,1,4,4,36.639999,44.849998,45.099998,50.139999,48.509998,47.130001,43.029999,53.57,59052,49.900002,45.130001,50.52,60.099998,6,6,2,28,1,1,5905209E,12,1,52,1,5905209E,0,0,1,0,0,0,1,0,1,1,1,1,0,0,1,1,0,0,0,0,1,0,0,176.73,192.23999,205.64999,5.174623,5.2587447,5.3261757,Not frequently absent,Does not expect university
701120,2,4,5,70.550003,64.919998,51.849998,55.939999,64.169998,65.080002,52.650002,53.970001,59052,61.299999,63.23,60.18,58.16,11,12,1,33,1,1,5905208S,25,1,13,1,5905208S,1,1,0,0,0,0,1,0,1,1,1,1,0,0,1,0,1,0,1,0,0,0,0,243.25999,235.87,242.87,5.4941306,5.4632807,5.4925265,Frequently absent,Expects university
701148,1,4,5,38.189999,52.59,47.419998,58.369999,43.209999,59.029999,49.32,58.330002,59052,45.98,61.290001,48.330002,61.540001,11,12,2,30,1,1,5905201S,22,1,23,1,5905201S,1,1,1,0,0,0,1,0,1,1,1,1,0,0,1,0,1,0,0,1,0,0,1,196.56999,209.89,217.14,5.2810187,5.3465834,5.3805423,Not frequently absent,Expects university
701203,1,4,4,49.709999,71,56.150002,44.18,55.48,65.239998,59.52,41.470001,56214,99.989998,99.989998,99.989998,99.989998,10,7,2,22,1,1,5621410M,16,1,22,1,5621410M,0,0,1,0,0,0,1,0,1,1,1,1,0,1,0,1,0,0,0,1,0,0,0,221.04001,221.70999,399.95999,5.3983436,5.40137,5.9913645,Not frequently absent,Does not expect university
701208,2,4,4,47.549999,51.810001,51.650002,49.57,56.73,56.099998,44.549999,46.099998,56214,99.989998,99.989998,99.989998,99.989998,8,9,2,23,1,1,5621402E,25,1,29,1,5621402E,0,0,0,0,0,0,1,0,1,1,1,1,0,1,0,0,1,0,0,0,1,0,1,200.58,203.48,399.95999,5.3012133,5.3155675,5.9913645,Not frequently absent,Does not expect university
701237,2,4,5,66.650002,61.029999,49.799999,55.290001,55.189999,59.34,56.509998,54.220001,56214,99.989998,99.989998,99.989998,99.989998,10,11,2,19,1,1,5621411E,14,1,20,1,5621411E,1,0,0,0,0,0,1,0,1,1,1,1,0,1,0,1,0,0,0,1,0,0,0,232.77,225.25999,399.95999,5.4500508,5.4172554,5.9913645,Not frequently absent,Expects university
701243,1,4,5,37.290001,48.759998,43.23,45.419998,40.060001,54.720001,57.279999,49.599998,56214,99.989998,99.989998,99.989998,99.989998,7,11,2,24,1,1,5621402E,23,1,27,2,5621402E,1,0,1,0,0,0,1,0,1,0,1,1,0,1,0,0,1,0,0,0,1,0,1,174.7,201.66,399.95999,5.1630702,5.3065829,5.9913645,Not frequently absent,Expects university
701247,2,4,2,63.900002,59.02,54.720001,57.619999,41.950001,42.84,40.09,53.900002,56214,99.989998,99.989998,99.989998,99.989998,10,10,2,19,1,1,5621401M,18,1,22,1,5621401M,0,0,0,0,0,0,1,0,1,1,1,1,0,1,0,0,1,0,0,1,0,0,1,235.26001,178.78,399.95999,5.4606915,5.1861558,5.9913645,Not frequently absent,Does not expect university
701612,1,4,5,56.619999,53.220001,62.700001,60.810001,57.529999,60.759998,68.150002,62.52,4869,62.619999,66.260002,67.489998,66.730003,11,9,2,25,1,1,0486901S,27,1,27,1,0486901S,0,1,1,0,0,0,1,0,1,1,1,1,0,1,0,0,0,1,0,0,1,0,1,233.35001,248.95999,263.10001,5.4525394,5.517292,5.5725341,Not frequently absent,Expects university
701643,1,1,5,55.810001,70.809998,60.970001,62.540001,57.830002,65.550003,69.5,59.34,4869,57.330002,65.93,63.549999,62.880001,12,14,2,20,1,1,0486902E,23,1,14,1,0486902E,1,1,1,1,0,0,0,0,1,1,1,1,0,1,0,0,1,0,1,0,0,0,0,250.13,252.22,249.69,5.5219808,5.5303016,5.5202203,Not frequently absent,Expects university
701670,1,3,5,70.550003,71.940002,64.120003,65.57,68.800003,61.66,64.160004,60.639999,4869,67.510002,63.540001,62.759998,66.529999,10,11,2,25,1,1,0486902E,23,1,21,1,0486902E,1,0,1,0,0,1,0,0,1,1,1,1,0,1,0,0,1,0,0,1,0,0,1,272.17999,255.26001,260.34,5.6064634,5.5422826,5.5619884,Not frequently absent,Expects university
701672,2,3,5,49.709999,45.07,47.630001,44.16,52.5,53.279999,37.950001,41.970001,4869,50.189999,49.209999,35.490002,42,11,12,2,21,1,1,0486907S,23,1,25,1,0486907S,1,1,0,0,0,1,0,0,1,1,1,1,0,1,0,0,1,0,0,1,0,0,1,186.57001,185.7,176.89,5.2288065,5.2241325,5.175528,Not frequently absent,Expects university
702804,1,4,6,50.630001,66.190002,59.490002,57,53.919998,60.130001,65.769997,60.34,13835,40.310001,56.630001,35.02,33.810001,12,12,2,27,1,1,1383501S,39,1,20,1,1383501S,1,1,1,0,0,0,1,0,1,1,1,1,0,0,1,0,0,1,0,1,0,0,1,233.31,240.16,165.77,5.4523683,5.4813056,5.1106014,Not frequently absent,Expects university
702819,1,4,6,58.240002,67.260002,66.669998,64.919998,63,65.019997,68.309998,68.309998,13835,60.959999,66.459999,65.059998,64,11,13,2,26,1,1,1383501S,43,1,20,1,1383501S,1,1,1,0,0,0,1,0,1,1,1,1,0,0,1,0,0,1,0,1,0,0,1,257.09,264.63998,256.47998,5.5494261,5.5783706,5.5470505,Not frequently absent,Expects university
702848,1,1,5,99.989998,99.989998,99.989998,99.989998,54.009998,49.209999,56.380001,68.669998,13835,60,51.720001,56.439999,64.080002,11,11,2,26,1,1,1383511E,24,1,23,1,1383511E,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,0,1,0,0,1,0,0,1,399.95999,228.26999,232.24001,5.9913645,5.4305291,5.4477715,Not frequently absent,Expects university
702849,2,4,5,48.98,55.439999,53.119999,51.560001,54.400002,55.25,51.549999,57.740002,13835,54.299999,53.889999,47.549999,44.27,11,11,2,27,1,1,1383504S,22,3,18,1,1383504S,1,1,0,0,0,0,1,0,1,1,1,1,0,0,1,0,1,0,0,1,0,0,1,209.10001,218.94,200.00999,5.3428125,5.3887978,5.2983675,Not frequently absent,Expects university
702863,2,2,3,48.380001,48.849998,49.400002,49.52,36.27,43.34,45.57,34.950001,13835,29.940001,50.400002,35.610001,33.049999,9,6,2,30,1,1,1383510S,22,1,20,1,1383510S,0,0,0,0,1,0,0,0,1,1,1,1,0,0,1,0,1,0,0,1,0,0,1,196.14999,160.13,149,5.2788796,5.0759859,5.0039463,Not frequently absent,Does not expect university
702876,2,1,6,70.550003,72.230003,58.580002,63.029999,63.360001,66.940002,66.800003,69.879997,13835,66.519997,69.720001,63.439999,67.440002,12,13,2,27,1,1,1383501S,43,1,16,1,1383501S,1,1,0,1,0,0,0,0,1,1,1,1,0,0,1,0,0,1,1,0,0,0,0,264.39001,266.98001,267.12,5.5774255,5.5871739,5.587698,Not frequently absent,Expects university
702993,2,4,2,40.279999,42.59,39.799999,44,46.240002,42.950001,41.490002,39.02,98292,42.759998,44.540001,36.259998,38.27,5,11,2,27,3,1,9829202E,18,1,25,1,9829202E,1,0,0,0,0,0,1,0,1,1,1,1,0,0,1,0,1,0,0,1,0,0,1,166.67,169.70001,161.83,5.1160159,5.1340322,5.0865464,Not frequently absent,Does not expect university
704227,2,4,5,61.419998,51.049999,63.759998,63.27,56.91,55.360001,54.459999,62.509998,71627,60.299999,54.330002,58.549999,62.380001,12,12,2,30,1,1,7162704E,19,3,11,1,7162704E,1,1,0,0,0,0,1,0,1,1,1,1,0,0,1,0,1,0,1,0,0,0,0,239.5,229.23999,235.56,5.4785533,5.4347696,5.4619656,Not frequently absent,Expects university
704230,2,5,5,58.400002,56.68,55.310001,48.759998,51.57,56.740002,58.130001,48.790001,71627,55.25,60.18,53.200001,57.080002,10,9,2,30,1,1,7162704E,19,3,11,1,7162704E,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,1,0,1,0,0,0,0,219.14999,215.23001,225.71001,5.3897562,5.3717074,5.419251,Not frequently absent,Expects university
708902,1,4,5,41.869999,41.139999,56.439999,46.740002,38.389999,51.27,50.639999,50.369999,27122,40.169998,54.34,52.740002,45.639999,12,12,2,31,1,1,2712208M,23,1,22,1,2712208M,1,1,1,0,0,0,1,0,1,1,1,1,0,0,1,0,1,0,0,1,0,0,1,186.19,190.67,192.89,5.2267675,5.2505441,5.2621202,Not frequently absent,Expects university
708906,2,1,5,66.5,54.700001,64.779999,59.68,60.73,55.779999,66.980003,59.040001,22169,64.830002,61.27,64.07,64.809998,10,12,2,31,1,1,2216903M,17,1,25,1,2216903M,1,0,0,1,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,1,0,0,0,245.66,242.53,254.98,5.5039487,5.4911256,5.5411849,Not frequently absent,Expects university
708928,1,4,3,40.700001,41.23,49.59,50.939999,47.68,38.490002,42,55.41,27122,56.43,50.029999,57.259998,65.099998,10,8,2,30,1,1,2712206E,26,1,29,1,2712206E,0,0,1,0,0,0,1,0,1,1,1,1,0,0,1,0,0,1,0,0,1,0,1,182.45999,183.58,228.81999,5.206531,5.2126508,5.4329357,Not frequently absent,Does not expect university
708946,2,4,5,42.709999,40.869999,46.779999,45.689999,43.150002,38.18,48.209999,41.869999,22169,44.849998,43.970001,41.66,51.18,11,11,2,30,1,1,2216903M,29,1,30,1,2216903M,1,1,0,0,0,0,1,0,1,1,1,1,0,0,1,0,0,1,0,0,1,0,1,176.04999,171.41,181.66,5.1707678,5.1440582,5.202137,Not frequently absent,Expects university
708952,2,4,5,54.720001,61.200001,55.279999,57.75,57.990002,57.389999,62.279999,46.599998,27122,60.16,56.59,63.119999,50.650002,11,11,2,31,1,1,2712204E,24,1,22,1,2712204E,1,1,0,0,0,0,1,0,1,1,1,1,0,0,1,0,1,0,0,1,0,0,1,228.95,224.25999,230.52,5.4335036,5.412806,5.4403377,Not frequently absent,Expects university
708997,2,1,5,60.709999,63.200001,61.18,65.32,65.709999,65.800003,59.75,69.25,22169,66.720001,63.790001,65.190002,63.509998,10,11,2,31,1,1,2216903M,17,1,25,1,2216903M,1,0,0,1,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,1,0,0,0,250.41,260.51001,259.20999,5.5230994,5.5626411,5.5576386,Not frequently absent,Expects university
709053,2,3,2,37.900002,42.610001,38.919998,40.799999,39.07,41.369999,36.189999,31.58,5095,34.549999,36.509998,37.939999,43.130001,2,7,2,20,1,1,0509507E,19,1,28,1,0509507E,0,0,0,0,0,1,0,0,1,1,1,1,0,1,0,0,1,0,0,0,1,0,1,160.23,148.20999,152.13,5.0766101,4.99863,5.0247355,Not frequently absent,Does not expect university
709410,1,4,5,58.060001,65.459999,60.040001,66.699997,54.299999,62.990002,58.709999,59.959999,62112,46.029999,59.07,60.700001,63.639999,12,13,2,25,1,1,6211203M,20,1,32,1,6211203M,1,1,1,0,0,0,1,0,1,1,1,1,0,1,0,0,1,0,0,0,1,0,1,250.25999,235.95999,229.44,5.5225005,5.4636621,5.4356418,Not frequently absent,Expects university
709414,2,4,5,66.5,63.240002,67.330002,67.510002,65.440002,59.290001,54.07,60.860001,62112,66.739998,57.610001,58.07,63.75,10,11,2,11,1,1,6211207S,26,1,95,1,6211207S,1,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,1,0,0,1,0,0,264.58002,239.66,246.17,5.5781436,5.4792213,5.5060225,Not frequently absent,Expects university
709499,2,4,5,61.419998,44.110001,56.919998,57.099998,46.349998,47.560001,54.34,58.349998,62112,49.630001,52.869999,58.119999,60.200001,12,12,2,29,1,1,6211210H,22,1,19,1,6211210H,1,1,0,0,0,0,1,0,1,1,1,1,0,0,1,0,1,0,0,1,0,0,1,219.54999,206.60001,220.82001,5.3915801,5.3307848,5.3973479,Not frequently absent,Expects university
709607,2,4,5,69.150002,77.199997,72.260002,65.129997,66.160004,63.189999,63.389999,62.650002,5114,64.010002,67.389999,65.589996,65.639999,6,10,2,15,1,1,0511402E,21,1,10,1,0511402E,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,283.73999,255.39,262.63,5.6480584,5.5427918,5.5707464,Not frequently absent,Expects university
709609,2,4,5,66.5,67.75,61.25,53.07,64.82,63.549999,51.689999,56.48,5114,64.809998,64.129997,52.860001,56.439999,7,8,2,15,1,1,0511401M,16,1,10,1,0511401M,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,1,0,0,1,0,0,1,0,248.57001,236.53999,238.23999,5.5157247,5.4661174,5.4732785,Not frequently absent,Expects university
709619,1,4,5,47.689999,48.950001,50.060001,40.619999,51.080002,59.380001,53.790001,48.799999,5114,60.040001,65.150002,56.41,58.860001,11,11,2,15,1,1,0511401M,16,1,10,1,0511401M,1,1,1,0,0,0,1,0,1,1,1,1,1,0,0,1,0,0,1,0,0,1,0,187.32001,213.05,240.46001,5.2328186,5.361527,5.482554,Not frequently absent,Expects university
709647,2,4,3,67.970001,62.380001,61.369999,59.91,60.470001,62.080002,62.669998,54.5,5114,60.060001,62.98,63.59,52.330002,15,11,2,15,1,1,0511401M,16,1,10,1,0511401M,1,1,0,0,0,0,1,0,1,1,1,1,1,0,0,1,0,0,1,0,0,1,0,251.63,239.72,238.96001,5.5279598,5.4794717,5.4762964,Not frequently absent,Does not expect university
709658,1,4,3,45.970001,54.779999,63.560001,32.57,60.32,65.580002,62.41,69.040001,5114,63.290001,62.830002,64.449997,60.759998,9,12,2,15,1,1,0511401M,16,1,9,1,0511401M,1,0,1,0,0,0,1,0,1,1,1,1,1,0,0,1,0,0,1,0,0,1,0,196.88,257.35001,251.33,5.2825942,5.550437,5.5267668,Not frequently absent,Does not expect university
709673,1,4,4,40.73,56.990002,49.919998,48.599998,40.880001,49.490002,43.169998,46.549999,5114,39.73,51.759998,48.049999,39.450001,10,10,2,11,1,1,0511401M,16,1,31,1,0511401M,0,0,1,0,0,0,1,0,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,196.23999,180.09,178.98999,5.2793384,5.1934566,5.1873298,Not frequently absent,Does not expect university
709693,1,4,3,44.360001,56.700001,42.990002,44.07,46.810001,55.080002,52.389999,45.43,5114,42.009998,57.330002,48.189999,40.5,7,7,2,11,1,1,0511401M,16,1,31,1,0511401M,0,0,1,0,0,0,1,0,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,188.12,199.71001,188.03,5.2370801,5.2968664,5.2366014,Not frequently absent,Does not expect university
710337,1,3,6,36.290001,38.119999,32.200001,34.27,31.84,39.549999,34.139999,33.41,51939,99.989998,99.989998,99.989998,99.989998,10,11,2,30,1,1,5193918M,32,1,32,1,5193918M,1,0,1,0,0,1,0,0,1,1,1,1,0,0,1,0,0,1,0,0,1,0,1,140.88,138.94,399.95999,4.9479084,4.934042,5.9913645,Not frequently absent,Expects university
710405,2,4,6,50.860001,54.23,49.610001,44.52,53.009998,54.5,52.919998,53.68,87053,58.209999,50.560001,42.740002,58.799999,12,13,2,30,3,1,8705305E,30,1,15,1,8705305E,1,1,0,0,0,0,1,0,1,1,1,1,0,0,1,0,0,1,1,0,0,0,0,199.22,214.11,210.31,5.2944098,5.3664899,5.3485827,Not frequently absent,Expects university
710406,2,5,2,50.860001,42.490002,45.91,47.43,40.950001,40.740002,45.41,48.130001,87053,56.09,40.450001,40.810001,42.599998,10,10,2,30,1,1,8705307M,27,1,25,1,8705307M,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,1,0,1,0,0,1,186.69,175.23001,179.95,5.2294493,5.1660995,5.1926789,Not frequently absent,Does not expect university
710407,1,4,2,38.200001,44.689999,43.200001,43.990002,42.810001,40.43,43.049999,48.73,87053,99.989998,99.989998,99.989998,99.989998,7,12,2,30,1,1,8705301S,19,1,20,1,8705301S,1,0,1,0,0,0,1,0,1,1,1,1,0,0,1,0,1,0,0,1,0,0,1,170.08,175.02,399.95999,5.1362691,5.1649003,5.9913645,Not frequently absent,Does not expect university
710414,2,4,2,45.09,47.849998,40.369999,41.209999,37,47.060001,41.299999,39.150002,87053,32.369999,50.25,36,39.34,11,12,2,30,1,1,8705303S,30,1,25,1,8705303S,1,1,0,0,0,0,1,0,1,1,1,1,0,0,1,0,0,1,0,1,0,0,1,174.51999,164.51001,157.95999,5.1620393,5.1029716,5.0623417,Not frequently absent,Does not expect university
